"filename", "language", "C++", "CMake", "XML", "CMakeCache", "YAML", "JSON", "Makefile", "Python", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ALL_BUILD-Debug-7377a701e94eb7087318.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ALL_BUILD-MinSizeRel-7377a701e94eb7087318.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ALL_BUILD-RelWithDebInfo-7377a701e94eb7087318.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ALL_BUILD-Release-7377a701e94eb7087318.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ZERO_CHECK-Debug-641462e9dc7690a886a4.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ZERO_CHECK-MinSizeRel-641462e9dc7690a886a4.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ZERO_CHECK-RelWithDebInfo-641462e9dc7690a886a4.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-ZERO_CHECK-Release-641462e9dc7690a886a4.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-visual_slam_cpp-Debug-c5881a4399d7537e1a40.json", "JSON", 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 0, 1, 1157
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-visual_slam_cpp-MinSizeRel-e84f34cb8fb5133b0ca3.json", "JSON", 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 0, 1, 1157
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-visual_slam_cpp-RelWithDebInfo-6c281e3aedc17fa72b73.json", "JSON", 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 0, 1, 1157
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\target-visual_slam_cpp-Release-fd189bdf34f9dceaf131.json", "JSON", 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 0, 1, 1157
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\.cmake\api\v1\reply\toolchains-v1-7157893a33a966d978d5.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\ALL_BUILD.vcxproj", "XML", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeCache.txt", "CMakeCache", 0, 0, 0, 568, 0, 0, 0, 0, 0, 0, 0, 131, 699
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\CMakeCXXCompiler.cmake", "CMake", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 84
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\CMakeRCCompiler.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\CMakeSystem.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 145, 856
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\CompilerIdCXX\CompilerIdCXX.vcxproj", "XML", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\3.26.5\VCTargetsPath.vcxproj", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 37, 298
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\ZERO_CHECK.vcxproj", "XML", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 9, 34
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 73, 294
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\contrib\CMakeLists.txt", "CMake", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 27
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\contrib\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\contrib\WinBuild.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 7, 62
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\animation.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 37
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\bar.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\basic.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 45
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\fill.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\fill_inbetween.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\Maciek\Desktop\dev_workspace\Projects\VisualSlam\visual_slam_cpp\build\_deps\matplotlib-src\examples\imshow.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
